Task,Start Time,Stop Time,Elapsed Time
Task 1,2025-04-07 09:00:00,2025-04-07 10:30:00,01:30:00
Task 2,2025-04-07 10:45:00,2025-04-07 11:45:00,01:00:00
Task 3,2025-04-07 13:00:00,2025-04-07 14:00:00,01:00:00
Task 2,2025-04-08 08:30:00,2025-04-08 10:00:00,01:30:00
Task 3,2025-04-08 10:15:00,2025-04-08 11:15:00,01:00:00
Task 1,2025-04-08 13:30:00,2025-04-08 14:30:00,01:00:00
Task 1,2025-04-09 09:15:00,2025-04-09 10:45:00,01:30:00
Task 3,2025-04-09 11:00:00,2025-04-09 11:50:00,00:50:00
Task 2,2025-04-09 13:00:00,2025-04-09 13:45:00,00:45:00
Task 4,2025-04-10 08:00:00,2025-04-10 09:00:00,01:00:00
Task 2,2025-04-10 09:15:00,2025-04-10 10:45:00,01:30:00
Task 5,2025-04-10 13:15:00,2025-04-10 14:15:00,01:00:00
Task 1,2025-04-11 09:00:00,2025-04-11 10:00:00,01:00:00
Task 2,2025-04-11 10:15:00,2025-04-11 11:45:00,01:30:00
Task 3,2025-04-11 13:00:00,2025-04-11 14:00:00,01:00:00
Task 1,2025-04-14 09:00:00,2025-04-14 10:00:00,01:00:00
Task 4,2025-04-14 10:15:00,2025-04-14 11:45:00,01:30:00
Task 5,2025-04-14 13:00:00,2025-04-14 14:00:00,01:00:00
Task 3,2025-04-15 08:30:00,2025-04-15 09:30:00,01:00:00
Task 6,2025-04-15 10:00:00,2025-04-15 11:00:00,01:00:00
Task 1,2025-04-15 13:00:00,2025-04-15 14:30:00,01:30:00
Task 2,2025-04-16 09:00:00,2025-04-16 10:30:00,01:30:00
Task 4,2025-04-16 10:45:00,2025-04-16 11:45:00,01:00:00
Task 3,2025-04-16 13:30:00,2025-04-16 14:15:00,00:45:00
Task 5,2025-04-17 08:00:00,2025-04-17 09:30:00,01:30:00
Task 6,2025-04-17 10:00:00,2025-04-17 11:00:00,01:00:00
Task 2,2025-04-17 13:00:00,2025-04-17 14:00:00,01:00:00
Task 1,2025-04-18 09:00:00,2025-04-18 10:30:00,01:30:00
Task 4,2025-04-18 10:45:00,2025-04-18 11:30:00,00:45:00
Task 3,2025-04-18 13:00:00,2025-04-18 14:00:00,01:00:00
Task 2,2025-04-21 09:15:00,2025-04-21 10:15:00,01:00:00
Task 6,2025-04-21 10:30:00,2025-04-21 11:30:00,01:00:00
Task 5,2025-04-21 13:00:00,2025-04-21 14:30:00,01:30:00
Task 3,2025-04-22 08:30:00,2025-04-22 09:45:00,01:15:00
Task 1,2025-04-22 10:00:00,2025-04-22 11:30:00,01:30:00
Task 4,2025-04-22 13:00:00,2025-04-22 14:00:00,01:00:00
Task 2,2025-04-23 09:00:00,2025-04-23 10:30:00,01:30:00
Task 3,2025-04-23 10:45:00,2025-04-23 11:45:00,01:00:00
Task 5,2025-04-23 13:15:00,2025-04-23 14:15:00,01:00:00
Task 6,2025-04-24 08:30:00,2025-04-24 09:30:00,01:00:00
Task 1,2025-04-24 10:00:00,2025-04-24 11:30:00,01:30:00
Task 4,2025-04-24 13:00:00,2025-04-24 14:00:00,01:00:00
Task 2,2025-04-25 09:00:00,2025-04-25 10:30:00,01:30:00
Task 3,2025-04-25 10:45:00,2025-04-25 11:30:00,00:45:00
Task 5,2025-04-25 13:00:00,2025-04-25 14:30:00,01:30:00
Task 6,2025-04-26 08:30:00,2025-04-26 09:30:00,01:00:00
Task 1,2025-04-26 10:00:00,2025-04-26 11:30:00,01:30:00
